asset_id,asset_type,location,installed_date
A-0001,Valve,Plant-2,2021-02-06
A-0002,Motor,Plant-1,2019-01-04
A-0003,Motor,Plant-2,2020-12-16
A-0004,Panel,Station-A,2022-10-14
A-0005,Pump,Plant-1,2024-10-28
A-0006,Motor,Plant-2,2024-08-31
A-0007,Panel,Station-B,2019-07-28
A-0008,Panel,Station-A,2019-07-05
A-0009,Motor,Plant-1,2023-08-11
A-0010,Panel,Plant-1,2022-08-03
A-0011,Pump,Station-A,2019-11-21
A-0012,Valve,Station-A,2019-07-01
A-0013,Panel,Station-B,2021-01-27
A-0014,Motor,Plant-2,2019-09-11
A-0015,Pump,Station-A,2020-03-05
A-0016,Pump,Station-A,2021-09-03
A-0017,Panel,Station-B,2024-03-16
A-0018,Sensor,Station-A,2019-05-12
A-0019,Motor,Plant-1,2020-05-04
A-0020,Pump,Station-B,2019-10-22
A-0021,Motor,Station-A,2023-10-29
A-0022,Panel,Station-A,2024-02-12
A-0023,Panel,Plant-1,2022-08-08
A-0024,Sensor,Plant-1,2024-11-28
A-0025,Sensor,Station-B,2021-10-14
A-0026,Panel,Plant-1,2020-05-14
A-0027,Valve,Plant-1,2022-08-04
A-0028,Valve,Plant-1,2022-05-14
A-0029,Pump,Station-A,2023-08-26
A-0030,Sensor,Station-A,2022-10-13
A-0031,Pump,Plant-2,2019-05-08
A-0032,Motor,Station-A,2022-08-19
A-0033,Panel,Station-B,2024-06-11
A-0034,Panel,Plant-1,2020-05-26
A-0035,Valve,Station-A,2020-01-25
A-0036,Pump,Station-A,2024-04-15
A-0037,Pump,Plant-2,2021-07-23
A-0038,Motor,Station-B,2019-04-26
A-0039,Pump,Station-B,2022-04-28
A-0040,Motor,Plant-1,2022-04-15
A-0041,Pump,Station-B,2023-07-03
A-0042,Sensor,Station-A,2024-02-17
A-0043,Panel,Station-B,2023-08-09
A-0044,Motor,Plant-2,2024-11-26
A-0045,Panel,Station-B,2022-01-15
A-0046,Panel,Station-A,2024-11-06
A-0047,Pump,Station-A,2024-03-27
A-0048,Pump,Station-B,2022-08-17
A-0049,Motor,Station-A,2020-12-09
A-0050,Valve,Plant-2,2023-08-10
