interaction_id,agent,duration_sec,asr_confidence,transcript,derived_intent,outcome
I0001,Bilal,443,0.93,"AGENT: Hello, how can I help you today? CUSTOMER: My internet is down since morning.",report_outage,callback_scheduled
I0002,Ayesha,216,0.85,AGENT: Let's reset your password. CUSTOMER: I never receive the OTP.,account_help,escalated
I0003,Bilal,387,0.98,"AGENT: You want to cancel? CUSTOMER: Yes, effective this month.",cancel_subscription,callback_scheduled
I0004,Ayesha,577,0.96,"AGENT: You want to cancel? CUSTOMER: Yes, effective this month.",cancel_subscription,escalated
I0005,Zain,158,0.9,"AGENT: I see duplicate charges. CUSTOMER: Yes, I need a refund.",refund_request,resolved
I0006,Ayesha,148,0.86,"AGENT: You want to cancel? CUSTOMER: Yes, effective this month.",cancel_subscription,escalated
I0007,Hira,618,0.98,AGENT: Let's reset your password. CUSTOMER: I never receive the OTP.,account_help,resolved
I0008,Hira,242,0.95,AGENT: We can reschedule installation. CUSTOMER: Please move it to Friday.,installation_status,resolved
I0009,Zain,698,0.88,AGENT: Let's reset your password. CUSTOMER: I never receive the OTP.,account_help,resolved
I0010,Hira,307,0.91,AGENT: We can reschedule installation. CUSTOMER: Please move it to Friday.,installation_status,resolved
I0011,Bilal,858,0.88,AGENT: Let's reset your password. CUSTOMER: I never receive the OTP.,account_help,resolved
I0012,Zain,180,0.98,AGENT: Let's reset your password. CUSTOMER: I never receive the OTP.,account_help,resolved
I0013,Zain,645,0.95,"AGENT: Hello, how can I help you today? CUSTOMER: My internet is down since morning.",report_outage,escalated
I0014,Ayesha,223,0.87,"AGENT: You want to cancel? CUSTOMER: Yes, effective this month.",cancel_subscription,resolved
I0015,Zain,723,0.93,"AGENT: I see duplicate charges. CUSTOMER: Yes, I need a refund.",refund_request,escalated
I0016,Hira,451,0.9,"AGENT: Hello, how can I help you today? CUSTOMER: My internet is down since morning.",report_outage,callback_scheduled
I0017,Zain,612,0.9,"AGENT: Hello, how can I help you today? CUSTOMER: My internet is down since morning.",report_outage,callback_scheduled
