complaint_id,channel,timestamp,customer_id,text,label,sentiment,priority,status
1000,web,2025-09-01T09:00:00,C95319,Speed is far below what I pay for.,slow_speed,negative,high,open
1001,chat,2025-09-01T09:30:00,C14914,Technician never showed up for the installation.,installation,negative,medium,open
1002,web,2025-09-01T10:00:00,C17747,My discount was not applied to the invoice.,billing_issue,neutral,low,open
1003,email,2025-09-01T10:30:00,C85642,I was charged after cancellation request.,cancellation,negative,low,open
1004,phone,2025-09-01T11:00:00,C64937,Technician never showed up for the installation.,installation,negative,medium,in_progress
1005,chat,2025-09-01T11:30:00,C23507,Where can I find the installation guide?,installation,positive,medium,open
1006,email,2025-09-01T12:00:00,C83972,My discount was not applied to the invoice.,billing_issue,negative,medium,in_progress
1007,web,2025-09-01T12:30:00,C86750,Two-factor code never arrives.,account_access,positive,medium,open
1008,chat,2025-09-01T13:00:00,C20728,Frequent disconnections every hour.,service_outage,negative,medium,resolved
1009,phone,2025-09-01T13:30:00,C89817,How do I return the router and cancel?,cancellation,positive,low,open
1010,chat,2025-09-01T14:00:00,C74089,What are the data limits on the basic plan?,general_query,neutral,low,in_progress
1011,phone,2025-09-01T14:30:00,C54580,Is there a family bundle available?,general_query,positive,medium,in_progress
1012,email,2025-09-01T15:00:00,C22267,What are the data limits on the basic plan?,general_query,neutral,medium,in_progress
1013,phone,2025-09-01T15:30:00,C94820,My discount was not applied to the invoice.,billing_issue,negative,high,open
1014,phone,2025-09-01T16:00:00,C12957,How do I return the router and cancel?,cancellation,positive,medium,in_progress
1015,chat,2025-09-01T16:30:00,C47674,I cannot log in; password reset link doesn't work.,account_access,negative,medium,open
1016,email,2025-09-01T17:00:00,C31805,What are the data limits on the basic plan?,general_query,neutral,medium,open
1017,phone,2025-09-01T17:30:00,C64433,No signal at all; when will it be restored?,service_outage,positive,high,open
1018,email,2025-09-01T18:00:00,C33097,Internet has been down since morning in my area.,service_outage,negative,high,open
1019,chat,2025-09-01T18:30:00,C44438,Is there a family bundle available?,general_query,neutral,low,open
1020,phone,2025-09-01T19:00:00,C26448,Downloads are painfully slow lately.,slow_speed,neutral,medium,in_progress
1021,email,2025-09-01T19:30:00,C69853,I was charged after cancellation request.,cancellation,positive,high,resolved
1022,web,2025-09-01T20:00:00,C62175,Is there a family bundle available?,general_query,neutral,medium,in_progress
1023,chat,2025-09-01T20:30:00,C18827,I cannot log in; password reset link doesn't work.,account_access,positive,medium,open
1024,email,2025-09-01T21:00:00,C10030,Technician never showed up for the installation.,installation,positive,low,open
1025,email,2025-09-01T21:30:00,C19216,Downloads are painfully slow lately.,slow_speed,positive,high,open
1026,phone,2025-09-01T22:00:00,C72147,Streaming keeps buffering despite full bars.,slow_speed,negative,high,escalated
1027,web,2025-09-01T22:30:00,C50875,Two-factor code never arrives.,account_access,negative,low,open
1028,chat,2025-09-01T23:00:00,C77676,Streaming keeps buffering despite full bars.,slow_speed,negative,urgent,in_progress
1029,email,2025-09-01T23:30:00,C79220,Frequent disconnections every hour.,service_outage,negative,high,open
1030,phone,2025-09-02T00:00:00,C31894,What are the data limits on the basic plan?,general_query,neutral,high,in_progress
1031,phone,2025-09-02T00:30:00,C93419,Is there a family bundle available?,general_query,negative,high,resolved
1032,chat,2025-09-02T01:00:00,C62518,Do you offer student discounts?,general_query,positive,high,open
1033,email,2025-09-02T01:30:00,C13661,Two-factor code never arrives.,account_access,neutral,medium,open
1034,web,2025-09-02T02:00:00,C55812,I need to reschedule the router setup.,installation,neutral,low,open
1035,phone,2025-09-02T02:30:00,C36787,I cannot log in; password reset link doesn't work.,account_access,negative,urgent,in_progress
1036,phone,2025-09-02T03:00:00,C94296,Why is there an extra fee this month?,billing_issue,negative,high,resolved
1037,chat,2025-09-02T03:30:00,C72656,Is there a family bundle available?,general_query,negative,medium,in_progress
1038,web,2025-09-02T04:00:00,C70707,My discount was not applied to the invoice.,billing_issue,negative,urgent,resolved
1039,email,2025-09-02T04:30:00,C29811,Internet has been down since morning in my area.,service_outage,negative,medium,in_progress
1040,web,2025-09-02T05:00:00,C96149,Where can I find the installation guide?,installation,neutral,low,in_progress
