survey_id,interaction_id,channel,rating_1_5,nps,comment,sentiment
S0001,8855,phone,4,1,Had to repeat details multiple times.,positive
S0002,9194,phone,4,5,"Great support, quick fix.",positive
S0003,8539,phone,5,2,Had to repeat details multiple times.,positive
S0004,8355,chat,5,3,"Great support, quick fix.",positive
S0005,9520,phone,4,4,Agent was helpful and resolved the issue.,positive
S0006,8270,phone,4,10,Had to repeat details multiple times.,positive
S0007,7007,phone,4,2,Problem still exists. Not satisfied.,positive
S0008,9523,phone,4,8,"Great support, quick fix.",positive
S0009,7195,email,2,9,Problem still exists. Not satisfied.,negative
S0010,7091,phone,1,5,Had to repeat details multiple times.,negative
S0011,7435,web,4,3,Had to repeat details multiple times.,positive
S0012,9390,phone,3,3,Problem still exists. Not satisfied.,neutral
S0013,9555,email,5,2,Problem still exists. Not satisfied.,positive
S0014,7997,email,4,1,"Great support, quick fix.",positive
S0015,9614,phone,2,6,Average experience.,negative
S0016,7047,web,1,5,Had to repeat details multiple times.,negative
S0017,9465,chat,5,3,"Great support, quick fix.",positive
S0018,7001,web,1,0,Had to repeat details multiple times.,negative
S0019,7760,email,2,1,Agent was helpful and resolved the issue.,negative
S0020,9509,web,4,2,Problem still exists. Not satisfied.,positive
S0021,7817,web,4,10,Had to repeat details multiple times.,positive
S0022,9511,phone,2,1,Average experience.,negative
S0023,9563,email,1,8,"Great support, quick fix.",negative
S0024,8536,web,5,1,"Great support, quick fix.",positive
S0025,7718,chat,2,4,Agent was helpful and resolved the issue.,negative
S0026,9637,email,1,4,Average experience.,negative
S0027,8089,phone,4,10,"Great support, quick fix.",positive
S0028,8210,email,4,1,Problem still exists. Not satisfied.,positive
S0029,7695,chat,3,3,Problem still exists. Not satisfied.,neutral
S0030,8338,chat,2,5,"Great support, quick fix.",negative
S0031,8554,web,5,7,Had to repeat details multiple times.,positive
S0032,9173,chat,4,6,Agent was helpful and resolved the issue.,positive
S0033,9336,email,5,6,Problem still exists. Not satisfied.,positive
